casts,directors,id,imdbRate,imdbRateNumber,imdburl,number,rate,title,url
"娜塔莉·波特曼,米拉·库尼斯,薇诺娜·瑞德,文森特·卡索,芭芭拉·赫希",达伦·阿伦诺夫斯基,1978709,8.0,"596,092",http://www.imdb.com/title/tt0947798,410034,8.5,黑天鹅,https://movie.douban.com/subject/1978709/
"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,卡西·阿弗莱克,迈克尔·凯恩",克里斯托弗·诺兰,1889243,8.6,"1,102,417",http://www.imdb.com/title/tt0816692,495830,9.1,星际穿越,https://movie.douban.com/subject/1889243/
"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯","拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",25662329,8.0,"319,858",http://www.imdb.com/title/tt2948356,499745,9.2,疯狂动物城,https://movie.douban.com/subject/25662329/
"刘德华,梁朝伟,黄秋生,曾志伟,郑秀文","刘伟强,麦兆辉",1307914,8.1,"100,706",http://www.imdb.com/title/tt0338564,408915,9.0,无间道,https://movie.douban.com/subject/1307914/
"梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼,瑞秋·卡帕尼,艾玛·朗",克里斯托弗·史密斯,3011051,6.9,"76,894",http://www.imdb.com/title/tt1187064,310175,8.3,恐怖游轮,https://movie.douban.com/subject/3011051/
"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",罗伯托·贝尼尼,1292063,8.6,"478,488",http://www.imdb.com/title/tt0118799,425114,9.5,美丽人生,https://movie.douban.com/subject/1292063/
"托马斯·米切尔,芭芭拉·欧内尔,费雯·丽,伊夫林·凯耶斯,安·卢瑟福德","维克多·弗莱明,乔治·库克,山姆·伍德",1300267,8.2,"236,349",http://www.imdb.com/title/tt0031381,276018,9.2,乱世佳人,https://movie.douban.com/subject/1300267/
"塔伦·埃格顿,科林·费尔斯,塞缪尔·杰克逊,迈克尔·凯恩,马克·斯特朗",马修·沃恩,24405378,7.7,"474,384",http://www.imdb.com/title/tt2802144,330908,8.4,王牌特工：特工学院,https://movie.douban.com/subject/24405378/
"张涵予,彭于晏,孙淳,陈宝国,冯文娟",林超贤,25815034,6.7,"2,376",http://www.imdb.com/title/tt6044910,346925,8.0,湄公河行动,https://movie.douban.com/subject/25815034/
"摩根·弗里曼,布拉德·皮特,凯文·史派西,格温妮斯·帕特洛,安德鲁·凯文·沃克",大卫·芬奇,1292223,8.6,"1,139,775",http://www.imdb.com/title/tt0114369,437671,8.7,七宗罪,https://movie.douban.com/subject/1292223/
"日高法子,坂本千夏,糸井重里,岛本须美,北林谷荣",宫崎骏,1291560,8.2,"201,210",http://www.imdb.com/title/tt0096283,427496,9.1,龙猫,https://movie.douban.com/subject/1291560/
"平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬,雅尼卡·桑普蕾舞,诺特·阿查拉那·阿瑞亚卫考","普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭",4739952,7.7,"3,293",http://www.imdb.com/title/tt1859438,442680,8.2,初恋这件小事,https://movie.douban.com/subject/4739952/
"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎· 麦克艾霍恩",彼得·威尔,1292064,8.1,"744,315",http://www.imdb.com/title/tt0120382,467345,9.1,楚门的世界,https://movie.douban.com/subject/1292064/
"理查·基尔,萨拉·罗默尔,琼·艾伦,罗比·萨布莱特,艾瑞克·阿瓦利",拉斯·霍尔斯道姆,3011091,8.1,"187,499",http://www.imdb.com/title/tt1028532,467183,9.2,忠犬八公的故事,https://movie.douban.com/subject/3011091/
"约瑟夫·高登-莱维特,佐伊·丹斯切尔,吉奥弗瑞·阿伦德,科洛·莫瑞兹,马修·格雷·古柏勒",马克·韦布,3072086,7.7,"409,141",http://www.imdb.com/title/tt1022603,305282,8.0,和莎莫的500天,https://movie.douban.com/subject/3072086/
"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,弗朗索瓦·贝莱昂,凯德·麦拉德,玛丽·布奈尔",克里斯托夫·巴拉蒂,1291549,7.9,"47,980",http://www.imdb.com/title/tt0372824,462707,9.2,放牛班的春天,https://movie.douban.com/subject/1291549/
